Cidade;Campus/Unidade;Ano;Mes;Quantidade
Ituiutaba;Centro;2022;Janeiro;0
Ituiutaba;FACIP;2022;Janeiro;39550
Monte Carmelo;Araras;2022;Janeiro;23800
Monte Carmelo;Boa Vista;2022;Janeiro;1657
Monte Carmelo;Mundo Novo;2022;Janeiro;0
Monte Carmelo;Vila Nova;2022;Janeiro;902
Patos de Minas;Patos de Minas;2022;Janeiro;20960
Uberlândia;Educação Física / ESEBA;2022;Janeiro;27720
Uberlândia;Engenheiro Diniz;2022;Janeiro;492
Uberlândia;Fazendas;2022;Janeiro;56590
Uberlândia;Gloria;2022;Janeiro;25200
Uberlândia;Santa Mônica;2022;Janeiro;287000
Uberlândia;Umuarama;2022;Janeiro;230576
Uberlândia;Unidades Externas;2022;Janeiro;10081
Ituiutaba;Centro;2022;Fevereiro;0
Ituiutaba;FACIP;2022;Fevereiro;39550
Monte Carmelo;Araras;2022;Fevereiro;25200
Monte Carmelo;Boa Vista;2022;Fevereiro;3999
Monte Carmelo;Mundo Novo;2022;Fevereiro;0
Monte Carmelo;Vila Nova;2022;Fevereiro;902
Patos de Minas;Patos de Minas;2022;Fevereiro;16200
Uberlândia;Educação Física / ESEBA;2022;Fevereiro;28560
Uberlândia;Engenheiro Diniz;2022;Fevereiro;410
Uberlândia;Fazendas;2022;Fevereiro;42370
Uberlândia;Gloria;2022;Fevereiro;23450
Uberlândia;Santa Mônica;2022;Fevereiro;260400
Uberlândia;Umuarama;2022;Fevereiro;215838
Uberlândia;Unidades Externas;2022;Fevereiro;11289
Ituiutaba;Centro;2022;Março;0
Ituiutaba;FACIP;2022;Março;48650
Monte Carmelo;Araras;2022;Março;31080
Monte Carmelo;Boa Vista;2022;Março;2660
Monte Carmelo;Mundo Novo;2022;Março;0
Monte Carmelo;Vila Nova;2022;Março;984
Patos de Minas;Patos de Minas;2022;Março;16680
Uberlândia;Educação Física / ESEBA;2022;Março;38850
Uberlândia;Engenheiro Diniz;2022;Março;492
Uberlândia;Fazendas;2022;Março;64787
Uberlândia;Gloria;2022;Março;26950
Uberlândia;Santa Mônica;2022;Março;330400
Uberlândia;Umuarama;2022;Março;262856
Uberlândia;Unidades Externas;2022;Março;13146
Ituiutaba;Centro;2022;Abril;0
Ituiutaba;FACIP;2022;Abril;48300
Monte Carmelo;Araras;2022;Abril;28280
Monte Carmelo;Boa Vista;2022;Abril;2512
Monte Carmelo;Mundo Novo;2022;Abril;0
Monte Carmelo;Vila Nova;2022;Abril;984
Patos de Minas;Patos de Minas;2022;Abril;17640
Uberlândia;Educação Física / ESEBA;2022;Abril;36750
Uberlândia;Engenheiro Diniz;2022;Abril;574
Uberlândia;Fazendas;2022;Abril;50159
Uberlândia;Gloria;2022;Abril;24850
Uberlândia;Santa Mônica;2022;Abril;310800
Uberlândia;Umuarama;2022;Abril;246459
Uberlândia;Unidades Externas;2022;Abril;13135
Ituiutaba;Centro;2022;Maio;0
Ituiutaba;FACIP;2022;Maio;54250
Monte Carmelo;Araras;2022;Maio;38220
Monte Carmelo;Boa Vista;2022;Maio;2736
Monte Carmelo;Mundo Novo;2022;Maio;0
Monte Carmelo;Vila Nova;2022;Maio;1148
Patos de Minas;Patos de Minas;2022;Maio;15320
Uberlândia;Educação Física / ESEBA;2022;Maio;41370
Uberlândia;Engenheiro Diniz;2022;Maio;492
Uberlândia;Fazendas;2022;Maio;62494
Uberlândia;Gloria;2022;Maio;35000
Uberlândia;Santa Mônica;2022;Maio;352800
Uberlândia;Umuarama;2022;Maio;236846
Uberlândia;Unidades Externas;2022;Maio;12499
Ituiutaba;Centro;2022;Junho;0
Ituiutaba;FACIP;2022;Junho;48650
Monte Carmelo;Araras;2022;Junho;37100
Monte Carmelo;Boa Vista;2022;Junho;1620
Monte Carmelo;Mundo Novo;2022;Junho;0
Monte Carmelo;Vila Nova;2022;Junho;0
Patos de Minas;Patos de Minas;2022;Junho;12760
Uberlândia;Educação Física / ESEBA;2022;Junho;41790
Uberlândia;Engenheiro Diniz;2022;Junho;574
Uberlândia;Fazendas;2022;Junho;49064
Uberlândia;Gloria;2022;Junho;32550
Uberlândia;Santa Mônica;2022;Junho;331800
Uberlândia;Umuarama;2022;Junho;219325
Uberlândia;Unidades Externas;2022;Junho;14667
Ituiutaba;Centro;2022;Julho;0
Ituiutaba;FACIP;2022;Julho;50400
Monte Carmelo;Araras;2022;Julho;40320
Monte Carmelo;Boa Vista;2022;Julho;1273
Monte Carmelo;Mundo Novo;2022;Julho;0
Monte Carmelo;Vila Nova;2022;Julho;0
Patos de Minas;Patos de Minas;2022;Julho;14120
Uberlândia;Educação Física / ESEBA;2022;Julho;38220
Uberlândia;Engenheiro Diniz;2022;Julho;492
Uberlândia;Fazendas;2022;Julho;56250
Uberlândia;Gloria;2022;Julho;33250
Uberlândia;Santa Mônica;2022;Julho;352800
Uberlândia;Umuarama;2022;Julho;226647
Uberlândia;Unidades Externas;2022;Julho;12802
Ituiutaba;Centro;2022;Agosto;0
Ituiutaba;FACIP;2022;Agosto;49700
Monte Carmelo;Araras;2022;Agosto;38080
Monte Carmelo;Boa Vista;2022;Agosto;1649
Monte Carmelo;Mundo Novo;2022;Agosto;0
Monte Carmelo;Vila Nova;2022;Agosto;0
Patos de Minas;Patos de Minas;2022;Agosto;13200
Uberlândia;Educação Física / ESEBA;2022;Agosto;33600
Uberlândia;Engenheiro Diniz;2022;Agosto;410
Uberlândia;Fazendas;2022;Agosto;45307
Uberlândia;Gloria;2022;Agosto;31850
Uberlândia;Santa Mônica;2022;Agosto;359800
Uberlândia;Umuarama;2022;Agosto;233471
Uberlândia;Unidades Externas;2022;Agosto;12666
Ituiutaba;Centro;2022;Setembro;0
Ituiutaba;FACIP;2022;Setembro;44800
Monte Carmelo;Araras;2022;Setembro;35420
Monte Carmelo;Boa Vista;2022;Setembro;1639
Monte Carmelo;Mundo Novo;2022;Setembro;0
Monte Carmelo;Vila Nova;2022;Setembro;0
Patos de Minas;Patos de Minas;2022;Setembro;13440
Uberlândia;Educação Física / ESEBA;2022;Setembro;31290
Uberlândia;Engenheiro Diniz;2022;Setembro;574
Uberlândia;Fazendas;2022;Setembro;48913
Uberlândia;Gloria;2022;Setembro;30800
Uberlândia;Santa Mônica;2022;Setembro;355600
Uberlândia;Umuarama;2022;Setembro;246200
Uberlândia;Unidades Externas;2022;Setembro;11707
Ituiutaba;Centro;2022;Outubro;0
Ituiutaba;FACIP;2022;Outubro;53700
Monte Carmelo;Araras;2022;Outubro;42560
Monte Carmelo;Boa Vista;2022;Outubro;2426
Monte Carmelo;Mundo Novo;2022;Outubro;0
Monte Carmelo;Vila Nova;2022;Outubro;0
Patos de Minas;Patos de Minas;2022;Outubro;16840
Uberlândia;Educação Física / ESEBA;2022;Outubro;46620
Uberlândia;Engenheiro Diniz;2022;Outubro;492
Uberlândia;Fazendas;2022;Outubro;95959
Uberlândia;Gloria;2022;Outubro;36400
Uberlândia;Santa Mônica;2022;Outubro;422800
Uberlândia;Umuarama;2022;Outubro;282557
Uberlândia;Unidades Externas;2022;Outubro;11480
Ituiutaba;Centro;2022;Novembro;0
Ituiutaba;FACIP;2022;Novembro;61600
Monte Carmelo;Araras;2022;Novembro;39340
Monte Carmelo;Boa Vista;2022;Novembro;2380
Monte Carmelo;Mundo Novo;2022;Novembro;0
Monte Carmelo;Vila Nova;2022;Novembro;0
Patos de Minas;Patos de Minas;2022;Novembro;15880
Uberlândia;Educação Física / ESEBA;2022;Novembro;44520
Uberlândia;Engenheiro Diniz;2022;Novembro;492
Uberlândia;Fazendas;2022;Novembro;39510
Uberlândia;Gloria;2022;Novembro;32900
Uberlândia;Santa Mônica;2022;Novembro;390600
Uberlândia;Umuarama;2022;Novembro;259308
Uberlândia;Unidades Externas;2022;Novembro;12897
Ituiutaba;Centro;2022;Dezembro;0
Ituiutaba;FACIP;2022;Dezembro;51100
Monte Carmelo;Araras;2022;Dezembro;36260
Monte Carmelo;Boa Vista;2022;Dezembro;2220
Monte Carmelo;Mundo Novo;2022;Dezembro;0
Monte Carmelo;Vila Nova;2022;Dezembro;0
Patos de Minas;Patos de Minas;2022;Dezembro;13280
Uberlândia;Educação Física / ESEBA;2022;Dezembro;39480
Uberlândia;Engenheiro Diniz;2022;Dezembro;410
Uberlândia;Fazendas;2022;Dezembro;52390
Uberlândia;Gloria;2022;Dezembro;29750
Uberlândia;Santa Mônica;2022;Dezembro;351400
Uberlândia;Umuarama;2022;Dezembro;244225
Uberlândia;Unidades Externas;2022;Dezembro;14528
